"","x"
"1256","Cd80"
"1257","Cd81"
"1258","Cd9"
"1259","Cd99l2"
"1260","Cda"
"1261","Cdan1"
"1262","Cdc123"
"1263","Cdc16"
"1264","Cdc20"
"1265","Cdc23"
"1266","Cdc23"
"1267","Cdc25a"
"1268","Cdc25b"
"1269","Cdc25c"
"1270","Cdc26"
"1271","Cdc27"
"1272","Cdc34"
"1273","Cdc37"
"1274","Cdc37l1"
"1275","Cdc40"
"1276","Cdc42"
"1277","Cdc42"
"1278","Cdc42bpa"
"1279","Cdc42bpa"
"1280","Cdc42bpb"
"1281","Cdc42bpg"
"1282","Cdc42ep1"
"1283","Cdc42ep3"
"1284","Cdc42ep4"
"1285","Cdc42se2"
"1286","Cdc45"
"1287","Cdc5l"
"1288","Cdc6"
"1289","Cdc7"
"1290","Cdc73"
"1291","Cdca2"
"1292","Cdca2"
"1293","Cdca2"
"1294","Cdca3"
"1295","Cdca4"
"1296","Cdca5"
"1297","Cdca7"
"1298","Cdca7l"
"1299","Cdca8"
"1300","Cdcp1"
"1301","Cdh1"
"1302","Cdh2"
"1303","Cdh3"
"1304","Cdip1"
"1305","Cdipt"
"1306","Cdk1"
"1307","Cdk10"
"1308","Cdk11b"
"1309","Cdk12"
"1310","Cdk13"
"1311","Cdk13"
"1312","Cdk16"
"1313","Cdk17"
"1314","Cdk18"
"1315","Cdk2"
"1316","Cdk2ap1"
"1317","Cdk4"
"1318","Cdk5"
"1319","Cdk5rap1"
"1320","Cdk5rap2"
"1321","Cdk5rap3"
"1322","Cdk6"
"1323","Cdk7"
"1324","Cdk8"
"1325","Cdk9"
"1326","Cdkal1"
"1327","Cdkl5"
"1328","Cdkn1a"
"1329","Cdkn1b"
"1330","Cdkn1c"
"1331","Cdkn2a"
"1332","Cdkn2a"
"1333","Cdkn2aip"
"1334","Cdkn2aipnl"
"1335","Cdkn2b"
"1336","Cdo1"
"1337","Cdpf1"
"1338","Cdr2"
"1339","Cdr2l"
"1340","Cds2"
"1341","Cds2"
"1342","Cdt1"
"1343","Cdv3"
"1344","Cdv3"
"1345","Cdx1"
"1346","Cdyl"
"1347","Cdyl2"
"1348","Ceacam1"
"1349","Cebpb"
"1350","Cebpg"
